coupling,correction,observable,h,difference,predicted_h2_coefficient,drift_coefficient,cross_coefficient,weight_coefficient,residual,score_mse_proxy,potential_variance
shared,none,x,0.0625,0.00090161213288803,0.24462037621402666,0.0,0.015093952688411388,0.22952642352561528,-5.393621169801164e-05,0.25249374422048154,1.2828469849838002
shared,none,x2,0.0625,0.0024208232399676177,0.6564371627464793,0.25249374422048154,-0.005004943728384804,0.40894836225438264,-0.0001433844270108172,0.25249374422048154,1.2828469849838002
shared,none,sin,0.0625,0.00039250839190241305,0.10653881438328115,-0.06243219232540232,0.018560151825103698,0.15041085488357978,-2.3658851782278956e-05,0.25249374422048154,1.2828469849838002
shared,none,x,0.03125,0.0002322141471501893,0.24462037621402666,0.0,0.015093952688411388,0.22952642352561528,-6.672938996321121e-06,0.25249374422048154,1.2828469849838002
shared,none,x2,0.03125,0.0006232481339636387,0.6564371627464793,0.25249374422048154,-0.005004943728384804,0.40894836225438264,-1.780378278097008e-05,0.25249374422048154,1.2828469849838002
shared,none,sin,0.03125,0.00010116722304398529,0.10653881438328115,-0.06243219232540232,0.018560151825103698,0.15041085488357978,-2.874587877187712e-06,0.25249374422048154,1.2828469849838002
shared,none,x,0.015625,5.889185110735662e-05,0.24462037621402666,0.0,0.015093952688411388,0.22952642352561528,-8.299204292709834e-07,0.25249374422048154,1.2828469849838002
shared,none,x2,0.015625,0.00015804508863714872,0.6564371627464793,0.25249374422048154,-0.005004943728384804,0.40894836225438264,-2.21789054900346e-06,0.25249374422048154,1.2828469849838002
shared,none,sin,0.015625,2.5656107300597863e-05,0.10653881438328115,-0.06243219232540232,0.018560151825103698,0.15041085488357978,-3.543454296953866e-07,0.25249374422048154,1.2828469849838002
shared,none,x,0.0078125,1.482696169974318e-05,0.24462037621402666,0.0,0.015093952688411388,0.22952642352561528,-1.0348118441372083e-07,0.25249374422048154,1.2828469849838002
shared,none,x2,0.0078125,3.978898674872333e-05,0.6564371627464793,0.25249374422048154,-0.005004943728384804,0.40894836225438264,-2.76758047814714e-07,0.25249374422048154,1.2828469849838002
shared,none,sin,0.0078125,6.458625309846422e-06,0.10653881438328115,-0.06243219232540232,0.018560151825103698,0.15041085488357978,-4.398787272689061e-08,0.25249374422048154,1.2828469849838002
